Last Updated: 7/7/2026 2:06:00 AM
PRODUCT	INCI	PRODUCT_ID
Color Additive: FD&C Blue #1 Powder	Blue No. 1	fdcblue1pwdus75
Color Additive: FD&C Blue #1 Water Soluble Liquid	Distilled Water, Blue No. 1, and Propylene Glycol (and) Diazolidinyl Urea (and) Methylparaben (and) Propylparaben	fdclblue1
Color Additive: FD&C Blue #1 Water Soluble Powder	FD & C Blue No. 1	fdcblue1pwdus473
Color Additive: FD&C Green #3 Water Soluble Liquid	Distilled Water, Green No. 3, and Propylene Glycol (and) Diazolidinyl Urea (and) Methylparaben (and) Propylparaben	fdclgreen3
Color Additive: FD&C Green #3 Water Soluble Powder	Green No. 3	fdcgreen3
Color Additive: FD&C Red #40 Powder	Red No. 40	fdcred40
Color Additive: FD&C Red #40 Water Soluble Liquid	Distilled Water, Red No. 40, and Propylene Glycol (and) Diazolidinyl Urea (and) Methylparaben (and) Propylparaben	fdclred40
Color Additive: FD&C Red #40 Water Soluble Powder	Red No. 40	fdcred40pwdus473
Color Additive: FD&C Yellow #5 Water Soluble Liquid	Distilled Water, Yellow No. 5, and Propylene Glycol (and) Diazolidinyl Urea (and) Methylparaben (and) Propylparaben	fdclyellow5
Color Additive: FD&C Yellow #5 Water Soluble Powder	Yellow No. 5	fdcyell5pwdin75
Color Additive: FD&C Yellow #6 Water Soluble Liquid	Distilled Water, Yellow No. 6, and Propylene Glycol (and) Diazolidinyl Urea (and) Methylparaben (and) Propylparaben	fdclyellow6
Color Additive: FD&C Yellow #6 Water Soluble Powder	Yellow No. 6	fdcyell6
Color Additive: Manganese Violet	Manganese Violet	colbluemangviol
Color Additive: Manganese Violet	Manganese Violet	colbluemangviolus473
Color Additive: Orange Oxide	Iron Oxide	colorangeox
Color Additive: Red Oxide (Brick)	Iron Oxide	colredox
Color Additive: Red Oxide (Plum)	Iron Oxide	colredoxplum
Color Additive: Titanium Dioxide, Oil Dispersible	Titanium Dioxide	coltitdioxoilde74
Color Additive: Titanium Dioxide, Oil Dispersible	Titanium Dioxide	coltitdioxoilus473
Color Additive: Titanium Dioxide, Water Dispersible	Titanium Dioxide	coltitdioxwca74
Color Additive: Titanium Dioxide, Water Dispersible	Titanium Dioxide	coltitdioxwus473
Color Additive: Ultramarine Blue (Dark)	Ultramarine	colultrabluedkus473
Color Additive: Ultramarine Blue (Dark)	Ultramarine	colultrabluedkus74
Color Additive: Ultramarine Pink	Ultramarine	colultrapink
Color Additive: Ultramarine Violet	Ultramarine	colultraviol
Color Additive: Ultramarine Violet	Ultramarine	colultraviolus1230
Color Additive: Ultramarine Violet	Ultramarine	colultraviolus473
Color Additive: Umber Oxide	Iron Oxide	columberox
Color Additive: Yellow Oxide	Iron Oxides	colyellowox
Color Additive: Yellow Oxide	Iron Oxides	coloxyelus473
Coral Calcium Powder	Coral	othcoralcalpwdus261
Coral Calcium Powder	Coral	othcoralcalpwdus261-old
Cornstarch	Zea mays (Corn) Starch	othcornstarus103
Dead Sea Water (Brine)	Sodium Chloride, Water (Dead Sea Brine)	othdswb
Essential Oil Rose Damascena, Bulgaria	Rosa Damascene (Rose) Oil	eorosedabg666
Essential Oil: Agarwood	Agarwood	eoagarwood
Essential Oil: Allspice, Jamaica	Pimenta Officinalis (Allspice) Oil	eoallspjm51
Essential Oil: Ammi Visnaga, Morocco	Ammi Visnaga Oil	eoammivma257
Essential Oil: Amyris, Dominican Republic	Amyris balsamifera (Amyris) Oil	eoamyris
Essential Oil: Amyris, Dominican Republic	Amyris Balsamifera (Amyris) Oil	eoamyrisdo102
Essential Oil: Andean Mint	Minthostachys Mollis (Andean Mint) Oil	eoandeanmintpe974
Essential Oil: Angelica Root	Angelica Archangelica Root Oil	eoangrtgb444
Essential Oil: Angelica Root, France	Angelica archangelica (Angelica Root) Oil	eoangelrtfr
Essential Oil: Anise	Pimpinella Anisum (Anise) Seed Oil	eoaniseeg51
Essential Oil: Australian Blue Cypress	Callitris Intratropica (Blue Cypress) Oil	eobluecypressau708
Essential Oil: Australian Sandalwood	Santalum spicatum Oil	eoaustsand
Essential Oil: Basil, Bulgaria	Ocimum basilicum (Basil) Oil	eobasilbul
Essential Oil: Basil, Comoros	Ocimum basilicum (Basil) Oil	eobasilspain
Essential Oil: Basil, Hungary	Ocimum basilicum (Basil) Oil	eobasilhu96
Essential Oil: Basil, USA	Ocimum basilicum (Basil) Oil	eobasilus
Essential Oil: Bay Rum, Dominican Republic	Pimenta Racemosa (Bay Rum) Oil	eobaydo51
Essential Oil: Bay Rum, Jamaica	Pimenta Racemosa (Bay Rum) Oil	eobayjm51
Essential Oil: Bergamot (CP), Italy	Citrus Bergamia (Bergamot) Oil	eobergit615
Essential Oil: Bergamot, Italy	Citrus bergamia (Bergamot) Oil	eoberghu96
Essential Oil: Bergamot, Italy	Citrus bergamia (Bergamot) Oil	eobergit291
Essential Oil: Bergamot, Italy	Citrus bergamia (Bergamot) Oil	eobergit51
Essential Oil: Bergamot, Italy	Citrus bergamia (Bergamot) Oil	eoberga
Essential Oil: Bergamot, Ivory Coast	Citrus bergamia (Bergamot) Oil	eobergci51
Essential Oil: Black Pepper	Piper Nigrum (Black Pepper) Oil	eoblkpepin546
Essential Oil: Black Pepper	Piper Nigrum (Black Pepper) Oil	eoblkpepin553
Essential Oil: Black Pepper	Piper Ningrum (Black Pepper) Fruit Oil	eoblkpepperid1080
Essential Oil: Black Pepper, India	Piper nigrum (Black Pepper) Oil	eoblkpepindia
Essential Oil: Black Pepper, Sri Lanka	Piper nigrum (Black Pepper) Oil	eoblkpepperlk278
Essential Oil: Cajeput	Melaleuca Cajuputi (Cajeput) Oil	eocajeputau51
Essential Oil: Cajeput, India	Melaleuca cajuputi (Cajeput) Oil	eocajepind
Essential Oil: Camphor, China	Cinnamomum camphora (Camphor) Oil	eocamphor
Essential Oil: Cananga	Cananga Odorata (Cananga) Oil	eocanangaid1080
Essential Oil: Cananga, Indonesia	Cananga odorata (Cananga) Oil	eocananga
Essential Oil: Cardamom, Guatemala	Elettaria cardamomum (Cardamom) Oil	eocardguat
Essential Oil: Cardamom, India	Elettaria cardamomum (Cardamom) Oil	eocardamom
Essential Oil: Cardamom, Sri Lanka	Elettaria Cardamomum (Cardamom) Oil	eocardamlk278
Essential Oil: Carrot Seed	Daucus Carota (Carrot) Seed Oil	eocarrotfr257
Essential Oil: Carrot Seed India	Daucus Carota	eocarrotindia
Essential Oil: Carrot Seed, Hungary	Daucus carota (Carrot Seed) Oil	eocarro
Essential Oil: Cassia, China	Cinnamomum cassia (Cassia) Oil	eocassia
Essential Oil: Catnip, Canada	Nepeta Cataria (Catnip) Oil	eocatnpca51
Essential Oil: Catnip, USA	Nepeta Cataria (Catnip) Oil	eocatnpus51
Essential Oil: Cedarleaf, Bulgaria	Thuja occidentalis (Cedarleaf) Oil	eocedarleaf
Essential Oil: Cedarwood, China	Thuja orientalis Oil	eocedarchn
Essential Oil: Cedarwood, China, Perfume Grade	thuja orientalis	eocedarchinapg
Essential Oil: Cedarwood, India	Cedrus deodora (Cedarwood) Oil	eocedarind
Essential Oil: Cedarwood, Morocco	Cedrus atlantica (Cedarwood) Oil	eocedarwdmor
Essential Oil: Cedarwood, Virginia	Juniperus virginiana (Cedarwood) Oil	eocedarvir
Essential Oil: Cedarwood, Virginian	Juniperus Virginiana (Cedarwood) Oil	eocedarwdvirus102
Essential Oil: Chamomile, English	Anthemis nobilis	eochamomileenglish
Essential Oil: Chamomile, English, England	Anthemis nobilis (Chamomile) Oil	eoengcam
Essential Oil: Chamomile, German	Matricaria Recutita (German Chamomile) Flower Oil	eochamgermeg1024
Essential Oil: Chamomile, German	Matricaria Recutita (German Chamomile) Oil	eochamgermgb444
Essential Oil: Chamomile, German	Matricaria Recutita (German Chamomile) Oil	eochamgerbg1032
Essential Oil: Chamomile, German, Bulgaria	Matricaria recutita (German Chamomile) Oil	eochamgerbg390
Essential Oil: Chamomile, German, Egypt	Matricaria recutita (German Chamomile) Oil	eochamgmeg257
Essential Oil: Chamomile, Roman	Anthemis Nobilis (Roman Chamomile) Oil	eochamrombg1032
Essential Oil: Chamomile, Roman	Anthemis Nobilis (Roman Chamomile) Oil	eoromchamgb444
Essential Oil: Chamomile, Roman, France	Anthemis Nobilis (Roman Chamomile) Oil	eoromchamfr257
Essential Oil: Chamomile, Roman, Hungary	Chamaemelum nobile (Roman Chamomile) Oil	eorocham
Essential Oil: Chamomile, Roman, USA	Chamaemelum Nobile (Roman Chamomile) Oil	eoromchamusa
Essential Oil: Cinnamon Bark	Cinnamomum Burmannii (Cinnamon) Bark Oil	eocinnbrkid696
Essential Oil: Cinnamon Bark, Indonesia	Cinnamomum Burmannii (Cinnamon) Bark Oil	eocinnbrkid696clean
Essential Oil: Cinnamon Bark, Madagascar	Cinnamomum Zeylanicum (Cinnamon Bark) Oil	eocinnbarkmad
Essential Oil: Cinnamon Leaf, Spain	Cinnamomum zeylanicum (Cinnamon) Leaf Oil	eocinnaminspain
Essential Oil: Citronella	Cymbopogon Winterianus (Citronella) Grass Oil	eocitronellaid1080
Essential Oil: Citronella (Java Type)	Cymbopogon Winterianus Leaf Oil	eocitrojvid696
Essential Oil: Citronella, China (Java Type)	Cymbopogon winterianus (Citronella) Oil	eocitro
Essential Oil: Clary Sage	Salvia sclarea (Clary) Oil	eoclaryhu96
Essential Oil: Clary Sage, Bulgaria	Salvia sclarea (Clary Sage) Oil	eoclarybg390
Essential Oil: Clary Sage, China	Salvia sclarea (Clary Sage) Oil	eoclarychina
Essential Oil: Clary Sage, France	Salvia sclarea (Clary Sage) Oil	eoclaryfr257
Essential Oil: Clary Sage, Hungary	Salvia sclarea (Clary Sage) Oil	eoclarybul
Essential Oil: Clary Sage, Russia	Salvia sclarea (Clary Sage) Oil	eoclaryru96
Essential Oil: Clary Sage, Russia	Salvia sclarea (Clary Sage) Oil	eoclaryruss
Essential Oil: Clementine (Cold Pressed)	Citrus Nobilis (Clementine) Oil	eoclemcpes895
Essential Oil: Clove Bud	Eugenia Caryophyllata (Clove) Bud Oil	eoclovebudid1080
Essential Oil: Clove Bud, Indonesia	Eugenia caryophyllata (Clovebud) Oil	eoclove
Essential Oil: Clove Bud, Madagascar	Eugenia caryophyllata (Clovebud) Oil	eoclovemad
Essential Oil: Clove Bud, Sri Lanka	Euginia Caryophyllata (Clove) Bud Oil	eoclovelk278
Essential Oil: Coffee, Roasted, Venezuela	Coffea arabica (Coffee) Oil	eocoffeevz
Essential Oil: Copahu Balsam, Brazil	Copaifera martii (Copahu) Balsam	eocopahubr257
Essential Oil: Coriander	Coriandrum Sativum (Coriander) Oil	eocoriandersdbg1032
Essential Oil: Coriander, Bulgaria	Coriandrum officinalis (Coriander) Oil	eocorian
Essential Oil: Coriander, Russia	Coriandrum officinalis (Coriander) Oil	eocorianruss
Essential Oil: Cypress	Cupressus Sempervirens (Cypress) Oil	eocyprgr51
Essential Oil: Cypress	Cupressus Sempervirens (Cypress) Oil	eocyprgr51clr
Essential Oil: Cypress, Blue, Australia	Callitris intratropica	eobluecyp
Essential Oil: Cypress, France	Cupressus sempervirens (Cypress) Oil	eocypressfrance
Essential Oil: Cypress, Spain	Cupressus sempervirens (Cypress) Oil	eocypresscnv
Essential Oil: Davana, India	Artemisia pallens (Davana) Oil	eodavana
Essential Oil: Dill Seed, Bulgaria	Anethum graveolens (Dill Seed) Oil	eodillbulg
Essential Oil: Elemi, Philippines	Canarium luzonicum (Elemi) Oil	eoelemiph257
Essential Oil: Eucalyptus Citriodora, China	Eucalyptus citriodora (Eucalyptus) Oil	eoeucalyp
Essential Oil: Eucalyptus Globulus	Eucalyptus Globulus Oil	eoeucglob80es22
Essential Oil: Eucalyptus Globulus	Eucalyptus globulus oil	eoeucglobcn96
Essential Oil: Eucalyptus Globulus, China	Eucalyptus globulus (Eucalyptus) Oil	eoeucgl
Essential Oil: Eucalyptus Globulus, India	Eucalyptus Globulus Leaf Oil	eoeucglobin546
Essential Oil: Eucalyptus Globulus, India	Eucalyptus Globulus Leaf Oil	eoeucglobin553
Essential Oil: Eucalyptus Globulus, India	Eucalyptus Globulus (Eucalyptus) Leaf Oil	eoeucglobin751
Essential Oil: Fennel, Sweet	Foeniculum Vulgare Dulce (Fennel) Oil	eofennhu96
Essential Oil: Fir, Balsam, Canada	Pinus Balsamea (Balsam Fir) Oil	eofirbalsamca4
Essential Oil: Fir, Balsam, Canada	Pinus balsamea (Fir) Oil	eofirbulg
Essential Oil: Frankincense Carteri, Somalia	Frankincense (Boswellia Carteri) Gum Oil	eofrankcartsdus994
Essential Oil: Frankincense Carteri, Somalia #1	Boswellia Carteri (Frankincense) Oil	eoboscartgb444
Essential Oil: Frankincense, India	Boswellia Serrata (Frankincense) Oil	eofrankindia
Essential Oil: Frankincense, Oman	Boswellia carteri (Frankincense) Oil	eofrankcartom51
Essential Oil: Geranium	Pelargonium Graveolens (Geranium) Oil	eogeraniumeg1024
Essential Oil: Geranium Rosat, Egypt	Pelargonium roseum asperum (Geranium) Oil	eogerrosateg257
Essential Oil: Geranium, China	Pelargonium graveolens (Geranium) Oil	eogeran
Essential Oil: Geranium, Egypt	Pelargonium Graveolens (Geranium) Oil	eogeraneg887
Essential Oil: Geranium, Egypt	Pelargonium Graveolens (Geranium) Oil	eogeraniumegpt
Essential Oil: Geranium, Rose, (Bourbon) Zimbabwe	Pelargonium graveolens roseum (Geranium) Oil	eoroseger
Essential Oil: Geranium, Rose, Bourbon, Madagascar	Pelargonium graveolens roseum (Geranium) Oil	eogerbourmad
Essential Oil: Ginger	Zingiber Officinale (Ginger) Oil	eogingerid1080
Essential Oil: Ginger, China	Zingiber officinale (Ginger) Oil	eoginge
Essential Oil: Ginger, Fresh Sweet	Zingiber Officinale (Ginger) Oil	eogingfrid696
Essential Oil: Ginger, Fresh Sweet, Sri Lanka	Zingiber officinale (Ginger) Oil	eogingerfresh
Essential Oil: Grapefruit, Pink	Citrus Paradisi (Grapefruit) Oil	eograpefpnkcpus655
Essential Oil: Grapefruit, Pink (CP), USA	Citrus paradisi (Grapefruit) Oil	eogrpfrpkcpmxus031
Essential Oil: Grapefruit, White (CP), USA	Citrus Paradisi (Grapefruit) Oil	eograpefrwhtus51
Essential Oil: Grapefruit, White, USA	Citrus paradisi (Grapefruit) Oil	eograpefruitwhite
Essential Oil: Helichrysum Italicum	Helychrysum italicum L.	eohelichrysumhu96
Essential Oil: Helichrysum Italicum, France	Helichrysum Italicum Oil	eoheliitfr257
Essential Oil: Hemlock, Canada	Tsuga Canadensis (Hemlock) Oil	eohemlockca4
Essential Oil: Hyssop	Hyssopus Officinalis (Hyssop) Oil	eohyssopgbb444
Essential Oil: Hyssop, France	Hyssopus officinalis (Hyssop) Oil	eohyssopfr51
Essential Oil: Juniper Berry	Juniperus communis L.	eojuniperbhu96
Essential Oil: Juniper Berry	Juniperus Communis (Juniper) Berry Oil	eojuniperhu96
Essential Oil: Juniper Berry, Bulgaria	Juniperus communis (Juniper Berry) Oil	eojuniper
Essential Oil: Juniper Berry, India	Juniperus communis (Juniper Berry) Oil	eojuniperind
Essential Oil: Juniper Berry, Spain	Juniperus communis (Juniper Berry) Oil	eojuniperes96
Essential Oil: Kaffir Lime Petitgrain	Citrus Hystrix (Kaffir Lime) Leaf Oil	eokaffirpetid1080
Essential Oil: Labdanum, Portugal	Cistus ladanifer (Labdanum) Oil	eolabdapt777
Essential Oil: Lavandin	Lavandula Hybrida (Lavandin) Oil	eolavandines22
Essential Oil: Lavandin (Spain)	Lavandula Hybrida (Lavandin) Oil	eolavandines895
Essential Oil: Lavandin Abrialis	Lavandula hybrida abrialis (Lavender) Oil	eolavabrialis291
Essential Oil: Lavandin Grosso, France	Lavandula Hybrida (Lavender Grosso) Oil	eolavgrossofr257
Essential Oil: Lavandin Grosso, Spain	Lavandula hybrida grosso (Lavender) Oil	eolavgrossosp
Essential Oil: Lavender	Lavandula Angustifolia (Lavender) Oil	eolavangbg1032
Essential Oil: Lavender, Bulgaria	Lavandula officinalis (Lavender) Oil	eolavoffbg302
Essential Oil: Lavender, Bulgaria	Lavandula Angustifolia (Lavender) Oil	eolavoffbg666
Essential Oil: Lavender, Bulgarian	Lavandula Angustifolia (Lavender) Oil	eolavangbg1208
Essential Oil: Lavender, Spike, Spain/France	Lavandula spica (Spike Lavender) Oil	eolavspike
Essential Oil: Lavender, Water Soluble	Lavandula officinalis  (Lavender) Oil (and) Polysorbate 20	eolavwater
Essential Oil: Lemon (CP), Argentina	Citrus limonium (Lemon) Oil	eolemoncparg
Essential Oil: Lemon (CP), Italy	Citrus Limonium (Lemon) Oil	eolemoncpit615
Essential Oil: Lemon (CP), Italy	Citrus limonum (Lemon) Oil	eolemonit
Essential Oil: Lemon (CP), USA	Citrus Limonium (Lemon) Oil	eolemoncpus655
Essential Oil: Lemon (CP), USA	Citrus limonium (Lemon) Oil	eolemcpmxus031
Essential Oil: Lemon Tea Tree, Australia	Leptospermum Petersonii (Lemon Tea Tree) Oil	eolemonteaau51
Essential Oil: Lemon, Spain	Citrus limonium (Lemon) Oil	eolemonspain
Essential Oil: Lemongrass ct Rhodinol	Cymbopogon Citratus (Lemongrass) Oil	eolemgrrhod70in320
Essential Oil: Lemongrass, India	Cymbopogon flexuosus (Lemongrass) Oil	eolemongr
Essential Oil: Lime (CP), Mexico	Citrus aurantifolia (Lime) Oil	eolimecpmex
Essential Oil: Lime (CP), USA	Citrus aurantifolia (Lime) Oil	eolimecpus655
Essential Oil: Lime (Distilled), Mexico	Citrus aurantifolia (Lime) Oil	eolimedistmx
Essential Oil: Lime, Distilled, West Indian	Citrus aurantifolia (Lime) Oil	eolimedistwi
Essential Oil: Lime, Persian (CP)	Citrus Latifolia (Lime) Oil	eolimecpmx655
Essential Oil: Lime, USA	Citrus aurantifolia (Lime) Oil	eolime
Essential Oil: Litsea Cubeba, China	Litsea cubeba (Litsea) Oil	eolitsea
Essential Oil: Magnolia Leaf	Michelia Alba (Magnolia) Leaf Oil	eomicheliaalcn1065
Essential Oil: Mandarin (CP), Italy	Citrus Deliciosa (Mandarin) Oil	eomandyit51
Essential Oil: Mandarin, Green, Italy	Citrus Reticulata (Green Mandarin) Oil	eomandgrncpit51
Essential Oil: Mandarin, King (CP), Spain	Citrus nobilis (Mandarin) Oil	eomandgreen
Essential Oil: Marjoram, Sweet, Hungary	Origanum majorana (Marjoram) Oil	eomarjhungary
Essential Oil: Melissa (Lemon Balm)	Melissa Officinalis (Lemon Balm) Oil	eolemblmgb444
Essential Oil: Mullein, India	Verbascum thapsus (Mullein) Oil	eomulle
Essential Oil: Myrrh (Dark), Kenya	Commiphora Myrrha (Myrrh) Oil	eomyrrke51
Essential Oil: Myrrh, Ethiopia	Commiphora myrrha (Myrrh) Oil	oemyrrhet257
Essential Oil: Myrtle, Peruvian	Luma Chequen (Myrtle) Oil	eoperumyrtpe974
Essential Oil: Neroli	Citrus Aurantium (Neroli) Oil	eonerolieg1024
Essential Oil: Neroli, Morocco	Citrus Aurantium (Neroli) Oil	eonerolima257
Essential Oil: Neroli, Spain	Citrus aurantium (Neroli) Oil	eoneroli
Essential Oil: Neroli, Tunisia	Citrus aurantium (Neroli) Oil	eonerolitn257
Essential Oil: Nerolina, Australia	Melaleuca quinquenervia (Nerolina) Oil	eonerolina
Essential Oil: Niaouli Cineole, Madagascar	Melaleuca Quinquenervia Cav. (Niaouli) Oil	eoniaoulimg257
Essential Oil: Niaouli, Australia	Melaleuca quinquenervia (Niaouli) Oil	eoniaou
Essential Oil: Niaouli, Madagascar	Melaleuca Viridiflora (Niaouli) Leaf Oil	eoniaoulimg798
Essential Oil: Nutmeg, Indonesia	Myristica fragrans (Nutmeg) Oil	eonutme
Essential Oil: Opopanax	Commiphora Guidottii (Opopanax) Oil	eoopoppgb444
Essential Oil: Orange, Sweet	Citrus Sinensis (Sweet Orange) Oil	eoorangeswcpus655
Essential Oil: Orange, Sweet (CP), Italy	Citrus sinensis (Sweet Orange) Oil	eoswtorangeit615
Essential Oil: Orange, Sweet, CP, Brazil	Citrus sinensis (Sweet Orange) Oil	eoorngcpbraz
Essential Oil: Orange, Sweet, Israel	Citrus sinensis (Sweet Orange) Oil	eosweetorange
Essential Oil: Orange, Sweet, Spain	Citrus sinensis (Sweet Orange) Oil	eoorangesp
Essential Oil: Orange, Sweet, USA (Organically Grown)	Citrus sinensis (Sweet Orange) Oil	eoorange
Essential Oil: Orange, Valencia (CP), USA	Citrus sinensis (Sweet Orange) Oil	eovalccpmxus031
Essential Oil: Palmarosa, India/Nepal	Cymbopogon martini (Palmarosa) Oil	eopalma
Essential Oil: Palo Santo	Bursera Graveolens (Palo Santo) Wood Oil	eopalosantoec1173
Essential Oil: Palo Santo	Bursera Graveolens (Palo Santo) Wood Oil	eopalosantope974
Essential Oil: Palo Santo Fruit	Bursera Graveolens (Palo Santo) Fruit Oil	eopalosanfrec1134
Essential Oil: Patchouli	Pogostemon Cablin (Patchouli) Oil	eopatchid1080
Essential Oil: Patchouli, India	Pogostemon cablin (Patchouli) Oil	eopatchin51
Essential Oil: Patchouli, Indonesia	Pogostemon Cablin (Patchouli) Oil	eopatchid383
Essential Oil: Patchouli, Light	Pogostemon Cablin (Patchouli) Oil	eopatchid696
Essential Oil: Peppercorn, Pink	Schinus Molle (Pink Peppercorn) Oil	eopkpepperpe974
Essential Oil: Peppermint	Mentha Piperita (Peppermint) Oil	eopepmntwillus1052
Essential Oil: Peppermint (Wild Mint), China	Mentha arvensis (Peppermint) Oil	eocornm
Essential Oil: Peppermint, India	Mentha Piperita (Peppermint) Oil	eopepper
Essential Oil: Peppermint, India	Mentha Piperita (Peppermint) Oil	eopepmntin226
Essential Oil: Peppermint, USA	Peppermint (Mentha Piperita) Oil	eopepmntus1052
Essential Oil: Petitgrain Bigarade, Paraguay	Citrus Aurantium (Petitgrain) Oil	eopetitpy257
Essential Oil: Petitgrain, Brazil	Citrus aurantium (Petitgrain) Oil	eopetitbraz
Essential Oil: Petitgrain, Spain	Citrus aurantium (Petitgrain) Oil	eopetitgraincnv
Essential Oil: Pine Needle, Bulgaria	Pinus sylvestris (Pine Needle) Oil	eopinehungary
Essential Oil: Ravensara, Madagascar	Ravensara aromatica (Ravensara) Oil	oeoravensara
Essential Oil: Ravintsara, Madagascar	Cinnamomum camphora (Ravintsara) Oil	eoravint
Essential Oil: Ravintsara, Madagascar	Cinnamomum Camphora Leaf Oil	eoravintmg798
Essential Oil: Rosalina	Melaleuca Ericifolia (Rosalina) Oil	eorosalinaau51
Essential Oil: Rosalina, Australia	Melaleuca ericifolia (Rosalina) Oil	eorosalina
Essential Oil: Rose Otto, Lebanon	Rosa Damascena (Rose) Oil	eoroseottolb638
Essential Oil: Rose, Otto, Bulgaria	Rosa damascena (Rose) Oil	eorosebul
Essential Oil: Rosemary Cineole	Rosmarinus Officinalis (Rosemary) Oil	eorosemhu96
Essential Oil: Rosemary, Spain	Rosmarinus officinalis (Rosemary) Oil	eorosem
Essential Oil: Rosewood	Aniba Rosaeodora (Rosewood) Oil	eorosewdpe1045
Essential Oil: Rosewood, Brazil	Aniba Rosaeodora (Rosewood) Oil	eorosewdbr51
Essential Oil: Sage, Clary	Salvia Sclarea (Clary Sage) Oil	eoclarygb444
Essential Oil: Sage, Hungary	Salvia officinalis (Sage) Oil	eosageoffhu96
Essential Oil: Sage, Spain	Salvia lavandulaefolia (Sage) Oil	eosage
Essential Oil: Sage, White	Salvia Apiana (White Sage) Essential Oil	eosagewhitewldca4
Essential Oil: Sandalwood, India	Santalum Album (Sandalwood) Oil	eosandal
Essential Oil: Sandalwood, Indian	Santalum Album (Sandalwood) Oil	eosandalau1046
Essential Oil: Sandalwood, Sri Lanka	Santalum Album (Sandalwood) Oil	eosandalsril
Essential Oil: Saro, Madagascar	Cinnamosma Fragrans (Saro) Oil	eomandavas
Essential Oil: Spearmint	Mentha Spicata (Spearmint) Oil	eospearus1052
Essential Oil: Spearmint, China	Mentha spicata (Spearmint) Oil	eospear
Essential Oil: Spearmint, India	Mentha spicata (Spearmint) Oil	eospearindia
Essential Oil: Spikenard, Nepal	Nardostachys jatamansi (Spikenard) Oil	eospike
Essential Oil: Star Anise, China	Illicium verum (Star Anise) Oil	eostaranise
Essential Oil: Tangerine	Citrus Reticulata (Tangerine) Oil	eotangercpus655
Essential Oil: Tangerine (CP), USA	Citrus reticulata (Mandarin) Oil	eotangercpus31
Essential Oil: Tangerine (CP), USA	Citrus reticulata (Mandarin) Oil	eotangercpus51
Essential Oil: Tea Tree	Melaleuca Alternifolia (Tea Tree) Leaf Oil	eoteatreeau1091
Essential Oil: Tea Tree	Melaleuca Alternifolia (Tea Tree) Oil	eoteatreeau708
Essential Oil: Tea Tree, Australia	Melaleuca Alternifolia (Tea Tree) Oil	eoteatr
Essential Oil: Tea Tree, China	Melaleuca alternifolia (Tea Tree) Oil	eoteatreech
Essential Oil: Tea Tree, China	Melaleuca alternifolia (Tea Tree) Oil	eoteatreechn
Essential Oil: Tea Tree, Water Soluble, Australia	Melaleuca Alternifolia (Tea Tree) Leaf Oil (and) Polysorbate 20	eowatteatree
Essential Oil: Thyme, Red, Spain	Thymus vulgaris (Thyme) Oil	eoredthyme
Essential Oil: Tulsi (Holy Basil), India	Ocimum Sanctum (Tulsi) OIl	eotulsiin751
Essential Oil: Tulsi (Holy Basil), India	Ocimum sanctum (Tulsi) Oil	eoholybasil
Essential Oil: Verbena, Spain	Lippia citriodora (Verbena) Oil	eoverbana
Essential Oil: Vetiver	Vetiveria Zizanioides (Vetiver) Root Oil	eovetiverht928
Essential Oil: Vetiver	Vetiveria Zizanioides (Vetiver) Root Oil	eovetiverid1080
Essential Oil: Vetiver, China	Andropogon Zizanioides (Vetiver) Oil	eovetiver
Essential Oil: Yarrow	Achilea Millefolium (Yarrow) Oil	eoyarrowbg1032
Essential Oil: Yarrow, Canada	Achillea Millefolium (Yarrow) Oil	eoyarrowca4
Essential Oil: Ylang Ylang Complete	Cananga odorata (Ylang Ylang) Flower Oil	eoyycmg798
Essential Oil: Ylang Ylang Complete, Madagascar	Cananga Odorata (Ylang Ylang) Oil	eoyycmg257
Essential Oil: Ylang Ylang Extra, Hungary	Cananga odorata (Ylang Ylang) Oil	eoylangexthu96
Essential Oil: Ylang Ylang Extra, Madagascar	Cananga Odorata (Ylang Ylang) Oil	eoyyemg257
Essential Oil: Ylang Ylang Extra, Spain	Cananga odorata (Ylang Ylang) Oil	eoylang
Essential Oil: Yuzu	Citrus Junos (Yuzu) Oil	eoyuzujp51
Essential Oil: Zdravetz	Geranium Macrorrhizum (Zdravetz) Oil	eozdravetzbg390
Exfoliant: Bamboo Powder (Banslochan)	Bambusa Arundinacea (Banslochan) Powder	herbbanspwdin408
Exfoliant: Bamboo Powder (Banslochan)	Bambusa Arundinacea (Banslochan) Powder	herbbanspwdin408_ir
Exfoliant: Finely Shredded Desiccated Coconut	Cocos Nucifera (Coconut) Fruit	exfcocoshredfnph93
Exfoliant: Pumice Powder	Pumice	othpwdpumiceus35
Exfoliant: Rice Husk Powder	Oryza Sativa (Rice) Husk Powder	exfricehskes770_ir
Exfoliant: Shredded Coconut, Extra Fine	Cocos Nucifera (Coconut)	exfcocoshredexfnph93
Exfoliant: Tagua Seed Powder	Phytelephas Aequatorialis (Tagua) Seed Powder	exftaguaec1176
Exfoliant: Vanilla Bean Specks	Vanilla Planifolia (Vanilla) Bean Seeds	othvanpwdexid696
Exfoliating Nut Meal: Apricot Kernel	Prunus armeniaca (Apricot) Meal	nutaprikern
Exfoliating Nut Meal: Borage Seed	Borago officinalis (Borage) Meal	nutborage
Exfoliating Nut Meal: Evening Primrose	Oenothera biennis (Evening Primrose) Meal	nutevprim
